run_id,quant,arm,rep,task_index,task_id,task_type,accumulated_prompt_tokens,completion_tokens,energy_j,j_per_completion_token,duration_s,avg_power_w,peak_power_w,vram_peak_mb,quality,quality_subscores,cumulative_energy_j,is_compaction,compaction_index,status,error,nvml_samples,nvml_available,source_file,source_line,source_sha256
AWQ_compaction_rep1,AWQ,compaction,1,0,T01,FACT,3183,13,361.4068,27.80053,1.4031,260.1,402.21,24549.2,1.0,"{""contains_all"": 1.0}",361.4068,False,0,ok,,15,True,run_v3_AWQ_compaction_rep1.jsonl,1,14abed44c5e5d5f1bee85fbba15692b1b583f4772bdf54bfd186d0d4210c2878
AWQ_compaction_rep1,AWQ,compaction,1,1,T02,FACT,3233,4,192.4801,48.12001,1.3025,150.25,188.99,24549.2,1.0,"{""contains_all"": 1.0, ""contains_any"": 1.0}",553.8869,False,0,ok,,14,True,run_v3_AWQ_compaction_rep1.jsonl,2,14abed44c5e5d5f1bee85fbba15692b1b583f4772bdf54bfd186d0d4210c2878
AWQ_compaction_rep1,AWQ,compaction,1,2,SONDA_A,SONDA,3284,5,195.3391,39.06781,1.3026,151.94,178.71,24549.2,1.0,"{""contains_all"": 1.0}",749.226,False,0,ok,,14,True,run_v3_AWQ_compaction_rep1.jsonl,3,14abed44c5e5d5f1bee85fbba15692b1b583f4772bdf54bfd186d0d4210c2878
AWQ_compaction_rep1,AWQ,compaction,1,3,T03,CLASSIFY,3357,76,392.6204,5.16606,2.0039,195.26,299.29,24549.2,1.0,"{""contains_all"": 1.0, ""contains_any"": 1.0}",1141.8464,False,0,ok,,21,True,run_v3_AWQ_compaction_rep1.jsonl,4,14abed44c5e5d5f1bee85fbba15692b1b583f4772bdf54bfd186d0d4210c2878
AWQ_compaction_rep1,AWQ,compaction,1,4,T04,CONSTRAINT,3687,395,1131.8116,2.86535,4.7069,239.11,327.52,24549.2,0.9167,"{""rota"": 0.9166666666666666}",2273.658,False,0,ok,,48,True,run_v3_AWQ_compaction_rep1.jsonl,5,14abed44c5e5d5f1bee85fbba15692b1b583f4772bdf54bfd186d0d4210c2878
AWQ_compaction_rep1,AWQ,compaction,1,5,T05,DRAFT,4182,230,775.2207,3.37052,3.4053,226.06,333.61,24549.2,1.0,"{""contains_all"": 1.0, ""contains_any"": 1.0, ""required_fields"": 1.0}",3048.8787,False,0,ok,,35,True,run_v3_AWQ_compaction_rep1.jsonl,6,14abed44c5e5d5f1bee85fbba15692b1b583f4772bdf54bfd186d0d4210c2878
AWQ_compaction_rep1,AWQ,compaction,1,6,T06,FACT,4450,25,275.8882,11.03553,1.6029,174.78,272.88,24549.2,1.0,"{""contains_all"": 1.0}",3324.767,False,0,ok,,17,True,run_v3_AWQ_compaction_rep1.jsonl,7,14abed44c5e5d5f1bee85fbba15692b1b583f4772bdf54bfd186d0d4210c2878
AWQ_compaction_rep1,AWQ,compaction,1,7,SONDA_B,SONDA,4508,6,257.7241,42.95401,1.5028,175.31,240.83,24549.2,1.0,"{""contains_all"": 1.0}",3582.491,False,0,ok,,16,True,run_v3_AWQ_compaction_rep1.jsonl,8,14abed44c5e5d5f1bee85fbba15692b1b583f4772bdf54bfd186d0d4210c2878
AWQ_compaction_rep1,AWQ,compaction,1,7.5,COMPACT_1,COMPACTION,4662,400,1229.6872,,4.9072,249.83,344.88,24549.2,,{},4812.1782,True,1,ok,,50,True,run_v3_AWQ_compaction_rep1.jsonl,9,14abed44c5e5d5f1bee85fbba15692b1b583f4772bdf54bfd186d0d4210c2878
AWQ_compaction_rep1,AWQ,compaction,1,8,T07,SUMMARIZE,3608,139,525.1946,3.77838,2.504,209.02,322.44,24549.2,1.0,"{""contains_any"": 1.0}",5337.3728,False,1,ok,,26,True,run_v3_AWQ_compaction_rep1.jsonl,10,14abed44c5e5d5f1bee85fbba15692b1b583f4772bdf54bfd186d0d4210c2878
